"","portfolio","alpha","beta"
"1","Date",NA,NA
"2","Mkt.RF",NA,NA
"3","SMB",NA,NA
"4","HML",NA,NA
"5","Rf",NA,NA
"6","SMALL.LoBM",0.0216865422737099,0.0176507657167764
"7","ME1.BM2",0.0154004168042119,-0.0625978609175936
"8","ME1.BM3",0.0238625807844175,-0.080040724748997
"9","ME1.BM4",0.0333538148401329,-0.145675597973585
"10","SMALL.HiBM",0.0372646982234854,-0.119420517447989
"11","ME2.BM1",0.00910215809924621,-0.021458072020828
"12","ME2.BM2",0.0225968816990777,-0.0703033768352649
"13","ME2.BM3",0.0256824346581742,-0.0941565968035423
"14","ME2.BM4",0.0274715953259766,-0.0673584337228671
"15","ME2.BM5",0.0302057741813604,0.0843950374563423
"16","ME3.BM1",0.0110587387234172,0.0102184282414635
"17","ME3.BM2",0.0231831524933552,-0.0752698196040213
"18","ME3.BM3",0.023862847295758,-0.0771570072755475
"19","ME3.BM4",0.026500102778139,-0.0432428434553094
"20","ME3.BM5",0.0237032183605424,0.17144888277873
"21","ME4.BM1",0.013966615821749,0.0221443674938749
"22","ME4.BM2",0.0169581761385487,-0.0569097253554122
"23","ME4.BM3",0.0198363413365526,-0.0235607477088346
"24","ME4.BM4",0.0225630909932006,0.0247078969900694
"25","ME4.BM5",0.0178671593857512,0.280990396352626
"26","BIG.LoBM",0.0115327033333392,0.0232935336409634
"27","ME5.BM2",0.0124733881750523,-0.0312800104655225
"28","ME5.BM3",0.0146345992207326,-0.00764358293395481
"29","ME5.BM4",0.00759318210073738,0.130411936144837
"30","BIG.HiBM",0.0161956278943821,0.317900052409505
