"","portfolio","alpha","mktfactorbeta","sizefactorbeta","valuefactorbeta"
"1","Date",NA,NA,NA,NA
"2","Mkt.RF",NA,NA,NA,NA
"3","SMB",NA,NA,NA,NA
"4","HML",NA,NA,NA,NA
"5","Rf",NA,NA,NA,NA
"6","SMALL.LoBM",0.0136090072247083,0.125398080211094,1.12535020407136,-0.0105142489091305
"7","ME1.BM2",0.00406567958638521,0.0370765142213702,1.23818493838117,0.192174125483351
"8","ME1.BM3",0.011003459463096,-0.0178494740852019,1.06794143879975,0.422404689869718
"9","ME1.BM4",0.0197234973306167,-0.0955028564698483,1.02777070804122,0.510988379830401
"10","SMALL.HiBM",0.0212783051388181,-0.0787439201948367,1.08519029152414,0.672288077523479
"11","ME2.BM1",0.00495712860059891,0.106987420621619,1.06159609400322,-0.299210537515218
"12","ME2.BM2",0.0146663023764651,0.0100558236918353,0.936601643966095,0.0918046956352659
"13","ME2.BM3",0.0153901194564562,-0.0389896686153233,0.89043725937456,0.31644173084569
"14","ME2.BM4",0.0152560925904446,-0.0316298473911443,0.859965799952222,0.49504451664032
"15","ME2.BM5",0.0130585727644885,0.101742352736638,0.990055019150803,0.826666297640971
"16","ME3.BM1",0.00852086545735471,0.102916531025536,0.742994121701176,-0.239647040300228
"17","ME3.BM2",0.0176273140557016,-0.019685177382917,0.651434725990399,0.0671731175036023
"18","ME3.BM3",0.0160504011134782,-0.0496627745823197,0.580725104662133,0.297954756749109
"19","ME3.BM4",0.0166828421875207,-0.0358604054162299,0.549963439969781,0.483529278078569
"20","ME3.BM5",0.00937986943028552,0.15437293667164,0.618111219615378,0.817310967228201
"21","ME4.BM1",0.0142551400638952,0.0759223114662669,0.341161118354246,-0.231074204095348
"22","ME4.BM2",0.0131935450883771,-0.0322885414192833,0.355096932984355,0.0979016287426529
"23","ME4.BM3",0.0139955510270221,-0.0218037230611439,0.309762534011025,0.298260089833362
"24","ME4.BM4",0.0140835058269445,-0.00358920959739216,0.245565722087501,0.556906914884427
"25","ME4.BM5",0.00502595918062979,0.212989050113954,0.205445959778695,0.944369512518877
"26","BIG.LoBM",0.0162530872625183,0.0343583428951408,-0.167721392035046,-0.291190060885758
"27","ME5.BM2",0.0141371276356403,-0.0439235911765588,-0.168595188698819,-0.0361877324627386
"28","ME5.BM3",0.0137161820840918,-0.050397067349347,-0.236052109337945,0.219722430923857
"29","ME5.BM4",0.00193829057187794,0.0464688924596321,-0.266867156968497,0.63274572906488
"30","BIG.HiBM",0.00564887073693218,0.204560624931882,-0.211706309618037,1.00652607430061
